variant,method,k,seed,category,metric,mean,num_categories,aggregation,uncertainty_scope
crop768_o025_mean,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_iou,0.17975643216286308,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_iou,0.1809594239305342,1,within_category,descriptive_single_support_seed
crop768_o025_mean,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_iou,0.17205953179619626,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,macro,mean_anomaly_mask_iou,0.16982538793539706,4,category_macro,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb1,mean_anomaly_mask_iou,0.24224391112108223,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb2,mean_anomaly_mask_iou,0.1729079645019025,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb3,mean_anomaly_mask_iou,0.14205889820082232,1,within_category,descriptive_single_support_seed
crop768_o050_max,dinov2_multi,4,4880,pcb4,mean_anomaly_mask_iou,0.12209077791778121,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,macro,mean_anomaly_mask_iou,0.2267233976131829,4,category_macro,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb1,mean_anomaly_mask_iou,0.2976288325923476,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb2,mean_anomaly_mask_iou,0.2549980711468609,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb3,mean_anomaly_mask_iou,0.20704575883811047,1,within_category,descriptive_single_support_seed
fusion_selective,anomaly_consistent_sam2,4,4880,pcb4,mean_anomaly_mask_iou,0.14722092787541258,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,macro,mean_anomaly_mask_iou,0.1689395029678578,4,category_macro,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb1,mean_anomaly_mask_iou,0.23240604509663995,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb2,mean_anomaly_mask_iou,0.16048932572849373,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb3,mean_anomaly_mask_iou,0.14357456259195803,1,within_category,descriptive_single_support_seed
fusion_union,anomaly_consistent_sam2,4,4880,pcb4,mean_anomaly_mask_iou,0.13928807845433958,1,within_category,descriptive_single_support_seed
prompt_box,dinov2_multi_sam2,4,4880,macro,mean_anomaly_mask_iou,0.20718750088036011,4,category_macro,descriptive_single_support_seed
