method,k,category,metric,mean,seed_std,ci_low,ci_high,num_categories,num_seeds,ci_resampling_unit,aggregation,uncertainty_scope
dinov2_multi,4,pcb1,mean_anomaly_mask_precision,0.20979090758159796,0.05261818028294075,0.16841057442211071,0.25117124074108527,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,pcb2,mean_anomaly_mask_precision,0.1802912315941751,0.0072779408876867836,0.17449931083938372,0.1852542353341596,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,pcb3,mean_anomaly_mask_precision,0.180708459749297,0.00557989231914365,0.17711703078031707,0.18554615485144405,1,5,support_seed,within_category,support_seed_interval
dinov2_multi,4,pcb4,mean_anomaly_mask_precision,0.19672013434749505,0.013190301954353343,0.18594094582830603,0.20570051304900014,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,1,macro,mean_anomaly_mask_precision,0.22466579265666153,0.014564770385249157,0.21326550326200966,0.23606608205131346,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi_sam2,1,pcb1,mean_anomaly_mask_precision,0.2082114460505272,0.015058022002674228,0.1956431468365017,0.21867798114018164,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,1,pcb2,mean_anomaly_mask_precision,0.18409385184438137,0.04216487321069348,0.15212091276686793,0.21606679092189482,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,1,pcb3,mean_anomaly_mask_precision,0.19531977618811913,0.02239447077515046,0.17821441478088634,0.21242513759535192,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,1,pcb4,mean_anomaly_mask_precision,0.31103809654361864,0.01866561476893544,0.29425212836462966,0.32262547454319696,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,2,macro,mean_anomaly_mask_precision,0.2449479549347066,0.013595788987974755,0.23622589000307964,0.25743997209448155,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi_sam2,2,pcb1,mean_anomaly_mask_precision,0.21892145818112674,0.04510590993226322,0.19179226666567056,0.26083405655672326,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,2,pcb2,mean_anomaly_mask_precision,0.23178846942572773,0.011550543655516237,0.22262333335362924,0.24016584550808381,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,2,pcb3,mean_anomaly_mask_precision,0.21712100797403538,0.020356170024715185,0.2012318786843616,0.2330101372637091,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,2,pcb4,mean_anomaly_mask_precision,0.3119608841579367,0.01365273702698759,0.30197835968078957,0.3233986026419025,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,4,macro,mean_anomaly_mask_precision,0.25809760542174176,0.013574749237448768,0.24749091302285323,0.26870429782063027,4,5,support_seed,category_macro,support_seed_interval
dinov2_multi_sam2,4,pcb1,mean_anomaly_mask_precision,0.2334963249508067,0.05140250259395143,0.19304046644733233,0.2739521834542811,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,4,pcb2,mean_anomaly_mask_precision,0.2441406000157142,0.010755261935640947,0.23452790432042808,0.24982107635510728,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,4,pcb3,mean_anomaly_mask_precision,0.23746484307254828,0.009147856588642906,0.2297247814108753,0.24421932591607884,1,5,support_seed,within_category,support_seed_interval
dinov2_multi_sam2,4,pcb4,mean_anomaly_mask_precision,0.31728865364789777,0.018144122548886803,0.3057449288300519,0.33267787999732923,1,5,support_seed,within_category,support_seed_interval
dinov2_single,1,macro,mean_anomaly_mask_precision,0.1668709371075171,0.007690305416098744,0.16060795655523386,0.17261581510626275,4,5,support_seed,category_macro,support_seed_interval
dinov2_single,1,pcb1,mean_anomaly_mask_precision,0.13496665014483405,0.004211003203720962,0.13157061608866508,0.1378842311310659,1,5,support_seed,within_category,support_seed_interval
dinov2_single,1,pcb2,mean_anomaly_mask_precision,0.1581516866629373,0.011339961487395968,0.15064841630766518,0.16840480727773868,1,5,support_seed,within_category,support_seed_interval
dinov2_single,1,pcb3,mean_anomaly_mask_precision,0.14169224598303298,0.0185180575921645,0.12792925762654592,0.157114163694338,1,5,support_seed,within_category,support_seed_interval
dinov2_single,1,pcb4,mean_anomaly_mask_precision,0.23267316563926405,0.017904708353800643,0.21886763665911024,0.2461384709279893,1,5,support_seed,within_category,support_seed_interval
dinov2_single,2,macro,mean_anomaly_mask_precision,0.18062493012367886,0.02077035495821324,0.1700029211781159,0.19965987847990402,4,5,support_seed,category_macro,support_seed_interval
dinov2_single,2,pcb1,mean_anomaly_mask_precision,0.1564098145712406,0.05942958650045373,0.12773996710692867,0.20952188113544207,1,5,support_seed,within_category,support_seed_interval
dinov2_single,2,pcb2,mean_anomaly_mask_precision,0.17932164357668348,0.011466689386196731,0.17079181972462498,0.18824895425531085,1,5,support_seed,within_category,support_seed_interval
dinov2_single,2,pcb3,mean_anomaly_mask_precision,0.1568438005142967,0.012463426229099775,0.14730883738624667,0.16637876364234674,1,5,support_seed,within_category,support_seed_interval
dinov2_single,2,pcb4,mean_anomaly_mask_precision,0.2299244618324947,0.021850151785248653,0.2163738435330144,0.24858044432690177,1,5,support_seed,within_category,support_seed_interval
dinov2_single,4,macro,mean_anomaly_mask_precision,0.18858354415753792,0.018887739996852188,0.17613561324314253,0.20505271842954423,4,5,support_seed,category_macro,support_seed_interval
dinov2_single,4,pcb1,mean_anomaly_mask_precision,0.1800570909307352,0.054280721389792334,0.1380833137479754,0.22203086811349498,1,5,support_seed,within_category,support_seed_interval
dinov2_single,4,pcb2,mean_anomaly_mask_precision,0.18000045798383807,0.004426802373214935,0.1763554062443279,0.18308618765385615,1,5,support_seed,within_category,support_seed_interval
dinov2_single,4,pcb3,mean_anomaly_mask_precision,0.1663313691293204,0.010124135476502046,0.15786192946473837,0.17294936768396893,1,5,support_seed,within_category,support_seed_interval
dinov2_single,4,pcb4,mean_anomaly_mask_precision,0.22794525858625786,0.029296760453910407,0.2093278853375902,0.25506559507504256,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,1,macro,mean_anomaly_mask_precision,0.19992991291213444,0.009617051626064911,0.19155630822215247,0.20644236521315545,4,5,support_seed,category_macro,support_seed_interval
dinov2_single_sam2,1,pcb1,mean_anomaly_mask_precision,0.17306160199351472,0.011674384964924829,0.1659276103263157,0.18354354194974687,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,1,pcb2,mean_anomaly_mask_precision,0.1951669293847176,0.01810013294297124,0.18053799227839817,0.20949263188369538,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,1,pcb3,mean_anomaly_mask_precision,0.15366235029822278,0.022807162188253335,0.13650238624536032,0.17204317323883547,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,1,pcb4,mean_anomaly_mask_precision,0.2778287699720827,0.011347106955087075,0.2695714727539073,0.28625015147000166,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,2,macro,mean_anomaly_mask_precision,0.2178419911856404,0.025537586677227643,0.20402408575929581,0.24086628629827017,4,5,support_seed,category_macro,support_seed_interval
dinov2_single_sam2,2,pcb1,mean_anomaly_mask_precision,0.19670151452976956,0.06567813971039327,0.16252428633536745,0.2553049123784236,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,2,pcb2,mean_anomaly_mask_precision,0.22584753906478444,0.017858661375080978,0.21282960163504433,0.23900054086182707,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,2,pcb3,mean_anomaly_mask_precision,0.17174678355433293,0.011609024637925722,0.1631404715120167,0.1812130986085653,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,2,pcb4,mean_anomaly_mask_precision,0.2770721275936747,0.02424202612916267,0.2606041210012276,0.29654298803756607,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,4,macro,mean_anomaly_mask_precision,0.22946876823818346,0.024474901400203516,0.2144685018486984,0.25049582539932946,4,5,support_seed,category_macro,support_seed_interval
dinov2_single_sam2,4,pcb1,mean_anomaly_mask_precision,0.2227421596792228,0.06238074474852403,0.1754098509390903,0.27152017062796935,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,4,pcb2,mean_anomaly_mask_precision,0.2317787356122354,0.009017204524198533,0.22384335660917923,0.23684300447587842,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,4,pcb3,mean_anomaly_mask_precision,0.18554229469448985,0.01710760601460662,0.17127664286193206,0.1983838549957933,1,5,support_seed,within_category,support_seed_interval
dinov2_single_sam2,4,pcb4,mean_anomaly_mask_precision,0.27781188296678583,0.03233464887970795,0.25781078723091505,0.3080044381186246,1,5,support_seed,within_category,support_seed_interval
patchcore,1,macro,mean_anomaly_mask_precision,0.12943372791112473,0.018636100063014374,0.11796809632956377,0.14660142625066336,4,5,support_seed,category_macro,support_seed_interval
patchcore,1,pcb1,mean_anomaly_mask_precision,0.10148105036722044,0.008245110830080055,0.09541799573699694,0.10789642293074209,1,5,support_seed,within_category,support_seed_interval
patchcore,1,pcb2,mean_anomaly_mask_precision,0.10822779739277019,0.006666538443504962,0.10363845370541243,0.11387442672064911,1,5,support_seed,within_category,support_seed_interval
patchcore,1,pcb3,mean_anomaly_mask_precision,0.11778605983565357,0.024227035158189386,0.09938128067963355,0.1357614885426978,1,5,support_seed,within_category,support_seed_interval
patchcore,1,pcb4,mean_anomaly_mask_precision,0.19024000404885472,0.061563897010700516,0.14274906078822758,0.2406761048661581,1,5,support_seed,within_category,support_seed_interval
patchcore,2,macro,mean_anomaly_mask_precision,0.15472254900390872,0.013514408088366282,0.14613303093770377,0.16662475573929297,4,5,support_seed,category_macro,support_seed_interval
patchcore,2,pcb1,mean_anomaly_mask_precision,0.11641360244771826,0.03569373222481688,0.097735738273327,0.14902988912751156,1,5,support_seed,within_category,support_seed_interval
patchcore,2,pcb2,mean_anomaly_mask_precision,0.13291333608820635,0.006873834469583661,0.12722068039515544,0.13807437246176651,1,5,support_seed,within_category,support_seed_interval
